시군명,정류소명,정류소id,위도,경도,최근접CCTV거리_m
의왕시,월암갈비,226000355,37.3095167,126.9551333,538.9398926803293
의왕시,월암동삼거리,226000349,37.3081667,126.9607,541.7701604163581
의왕시,능안입구,226000264,37.3781167,126.9989667,542.0562652888042
의왕시,월암방앗간,226000353,37.3066,126.9558333,545.8466073537949
의왕시,선경무궁화아파트,226000008,37.3518333,126.9789167,546.0212239490313
의왕시,원효충무아파트,226000034,37.3454667,126.9772167,546.1769291770075
의왕시,월암방앗간,226000352,37.30665,126.9558833,546.3556558531601
의왕시,월암갈비,226000354,37.3094167,126.9551667,547.7166390447983
의왕시,금천마을,226000097,37.3292833,126.9530833,549.8927630730417
의왕시,여성회관.복전원,226000009,37.35385,126.9763167,550.8497765983423
의왕시,선경무궁화아파트,226000015,37.3521833,126.9787167,551.4494917109514
의왕시,휴먼시아5단지,226000215,37.3918333,127.0019333,554.977096562278
의왕시,한국교통대학교,226000076,37.31475,126.9516,555.515829740876
의왕시,월암동삼거리,226000348,37.3083167,126.9607167,558.5018548050043
의왕시,금천마을,226000082,37.3292667,126.9527,573.5191106957434
의왕시,오전초등학교.동백아파트,226000013,37.3557,126.9709833,574.72037850643
의왕시,고고리마을입구,226000041,37.3420167,126.9776667,582.634195489528
의왕시,오전동주민센터,226000043,37.3538,126.9699,584.2402165592416
의왕시,통미마을,226000050,37.34135,126.9787667,589.4568894908728
의왕시,한국교통대학교,226000103,37.3148,126.9512,591.3180742995573
의왕시,내손순환길삼거리,226000022,37.3908,126.9805167,593.8556851583793
의왕시,여성회관,226000014,37.35445,126.9758167,594.9433956525512
의왕시,내손초등학교,226000142,37.3891167,126.9823167,600.0265227487896
의왕시,우성5차.KT전화국앞,226000363,37.3171333,126.9523333,602.7695503533652
의왕시,오전초등학교.동백아파트,226000010,37.3554333,126.9711333,604.4572269458085
의왕시,천왕사,226000277,37.38855,127.0179333,607.213849982111
의왕시,대림아파트1단지,226000210,37.3896167,126.9814333,609.1260880313865
의왕시,우성5차.KT전화국앞,226000360,37.3172167,126.9523167,609.5437043827836
의왕시,천왕사,226000276,37.3884667,127.0178667,612.3051631616997
의왕시,내손초등학교,226000021,37.3888167,126.98245,620.5925868009699
의왕시,괴말,226000308,37.3267167,126.9596667,620.8850509804066
의왕시,괴말,226000389,37.3267667,126.9597167,627.473575881912
의왕시,아리조나,226000288,37.3837,127.00625,629.0365897722982
의왕시,두산위브,226000346,37.39085,126.97995,635.1876313765629
의왕시,왕곡초등학교,226000006,37.3463,126.9796333,640.3121682376412
의왕시,의왕역,226000160,37.3210667,126.9503,653.5557158721978
의왕시,부곡초교,226000102,37.3158167,126.9507833,655.6199037043413
의왕시,의왕역,226000161,37.3209167,126.9502833,656.0753165031371
의왕시,휴먼시아4단지,226000214,37.3939,127.00075,656.6892991146278
의왕시,아리조나,226000287,37.3838167,127.00655,657.0334807630583
의왕시,우성고등학교,226000007,37.3497667,126.9810333,663.4557813750624
의왕시,휴먼시아4단지,226000173,37.3940333,127.0006333,664.2282555821541
의왕시,부곡초교,226000077,37.3157833,126.95065,665.5757964572676
의왕시,우성고등학교,226000032,37.34995,126.9811167,672.3115119294486
의왕시,신협오거리,226000100,37.3196333,126.9501833,690.3248261777024
의왕시,재활용센타,226000087,37.3377667,126.96695,694.0863807719006
의왕시,학현마을,226000278,37.3877333,127.0181667,696.550688124851
의왕시,지지대고개(경유),277103322,37.33045,126.9833333,697.6153244795377
의왕시,신협오거리,226000079,37.3196667,126.9500833,697.8109630366935
의왕시,지지대고개(경유),277103323,37.33055,126.9836667,700.6163809347142
의왕시,재활용센타,226000092,37.3376167,126.9671,701.2315592198972
의왕시,학현마을,226000279,37.3876667,127.0183,708.660745948862
의왕시,원터마을,226000122,37.3945667,127.0223167,709.4287627543687
의왕시,왕곡초등학교,226000033,37.3459667,126.9805167,726.1240653468726
의왕시,교동,226000086,37.33615,126.9644667,738.2066868803732
의왕시,교동,226000093,37.3360167,126.96465,746.0278218257873
의왕시,원터마을,226000199,37.39475,127.02275,751.1661810523087
의왕시,철도박물관,226000362,37.3147333,126.94935,752.019788596067
의왕시,배꼽,226000280,37.38705,127.018,758.2296441451133
의왕시,백운고등학교,226000150,37.3867167,126.98465,764.7868715404763
의왕시,옥박골,226000195,37.3941833,127.0023667,765.0004115102072
의왕시,내동.내손초등학교,226000060,37.3882167,126.9807167,766.372076139986
의왕시,내동.내손초등학교,226000053,37.3883333,126.9805,769.2690463073302
의왕시,배꼽,226000281,37.387,127.0181833,770.0805206692613
의왕시,고천다목적체육관,226000225,37.3477667,126.9820167,771.3218683838354
의왕시,숲속마을2단지,226000227,37.4003833,126.9872833,774.1203482702373
의왕시,원터마을,226000113,37.3942667,127.0231333,774.6657297463291
의왕시,꿈마을아파트,226000101,37.3175333,126.9503167,775.4142804915411
의왕시,의왕청계영업소,226000190,37.3931333,127.02325,776.9879780230585
의왕시,백운고교,226000020,37.3866,126.9845167,779.8696321391903
의왕시,의왕역,226000099,37.3215833,126.9488667,779.8708378561737
의왕시,꿈마을아파트,226000078,37.3174667,126.9502,780.4141143288444
의왕시,옥박골,226000196,37.3942667,127.0025667,783.388424197954
의왕시,정진기계앞,226000169,37.3525333,126.9629167,785.8166769450042
의왕시,의왕역,226000080,37.3214167,126.9487667,788.3462400359098
의왕시,종가집,226000282,37.38645,127.0169667,789.1034344438016
의왕시,부곡초등학교후문,226000356,37.3161667,126.9492833,793.7237043708814
의왕시,고천체육공원,226000235,37.3466667,126.9818333,794.1691270536925
의왕시,정진기계,226000168,37.3524167,126.96285,800.0354078256345
의왕시,종가집,226000283,37.3863333,127.01695,801.1581846745074
의왕시,부용촌,226000261,37.3762667,127.0026167,806.513012258069
의왕시,국민은행,226000345,37.3901167,126.9781833,811.2810506752284
의왕시,국민은행,226000023,37.3899,126.9783167,812.2976742427854
의왕시,부용촌,226000262,37.37615,127.0025333,815.8538298624409
의왕시,고천중학교,226000322,37.352,126.9824167,835.5802916211876
의왕시,롯데첨단소재,226000028,37.3517333,126.9638333,846.5302397717303
의왕시,숲속마을4단지,226000208,37.4010833,126.9858833,848.4813659434566
의왕시,숲속마을4단지,226000209,37.4011,126.9856833,851.3657276852875
의왕시,숲속마을2단지,226000228,37.4008833,126.98875,852.1808324356491
의왕시,롯데첨단소재,226000036,37.3514333,126.9641,864.1560623632475
의왕시,고천중학교,226000321,37.352,126.98285,871.6425412233081
의왕시,부곡주유소,226000098,37.32475,126.9486167,885.7434759172644
의왕시,학현슈퍼,226000286,37.3840167,127.0091333,886.1982341465244
의왕시,학현슈퍼,226000285,37.3841,127.0091333,887.4404050264613
의왕시,고천체육공원,226000177,37.34595,126.9826167,889.9912562362897
의왕시,고천체육공원,226000315,37.3457667,126.98255,893.7450895601723
의왕시,부곡주유소,226000081,37.3249,126.9485333,899.5927868053859
의왕시,삼성래미안.에버하임,226000343,37.3879667,126.97855,920.6040452275718
의왕시,민방위교육장,226000237,37.3866167,126.9804333,923.0515404011297
의왕시,경기외고,226000027,37.3518333,126.9610667,925.6945392398931
의왕시,경기외고,226000037,37.3517167,126.9610167,939.187462726094
의왕시,민방위교육장,226000236,37.3864833,126.9803167,941.1110103241034
의왕시,삼성래미안.에버하임,226000344,37.3878,126.9784,942.8330582650849
의왕시,옥박골,226000306,37.3955833,127.00355,951.8737064284273
의왕시,옥박골,226000307,37.3956167,127.0037667,966.6986456320791
의왕시,포일성당,226000019,37.38495,126.9839,970.7678487025361
