위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.3763667,126.9706667,정류소,,,150.0,1257.0321341228234,버스정류장 150m 내 CCTV 없음,WGS84,37.3763667,126.9706667,126.9706667,37.3763667,EPSG:4326,POINT (126.9706667 37.3763667)
37.3902333,126.9943833,정류소,,,150.0,270.2782062670888,버스정류장 150m 내 CCTV 없음,WGS84,37.3902333,126.9943833,126.9943833,37.3902333,EPSG:4326,POINT (126.9943833 37.3902333)
37.3912333,126.9965333,정류소,,,150.0,267.0641175687681,버스정류장 150m 내 CCTV 없음,WGS84,37.3912333,126.9965333,126.9965333,37.3912333,EPSG:4326,POINT (126.9965333 37.3912333)
37.3913667,126.9962167,정류소,,,150.0,286.3446923379402,버스정류장 150m 내 CCTV 없음,WGS84,37.3913667,126.9962167,126.9962167,37.3913667,EPSG:4326,POINT (126.9962167 37.3913667)
37.3103,126.95815,정류소,,,150.0,399.41623473777327,버스정류장 150m 내 CCTV 없음,WGS84,37.3103,126.95815,126.95815,37.3103,EPSG:4326,POINT (126.95815 37.3103)
37.3101833,126.95785,정류소,,,150.0,411.1302840326098,버스정류장 150m 내 CCTV 없음,WGS84,37.3101833,126.95785,126.95785,37.3101833,EPSG:4326,POINT (126.95785 37.3101833)
37.3913667,126.9819,정류소,,,150.0,456.54429802450807,버스정류장 150m 내 CCTV 없음,WGS84,37.3913667,126.9819,126.9819,37.3913667,EPSG:4326,POINT (126.9819 37.3913667)
37.3917167,126.9820167,정류소,,,150.0,428.7492533482085,버스정류장 150m 내 CCTV 없음,WGS84,37.3917167,126.9820167,126.9820167,37.3917167,EPSG:4326,POINT (126.9820167 37.3917167)
37.39085,126.97995,정류소,,,150.0,635.1876313765629,버스정류장 150m 내 CCTV 없음,WGS84,37.39085,126.97995,126.97995,37.39085,EPSG:4326,POINT (126.97995 37.39085)
37.3580667,126.9917333,정류소,,,150.0,1873.849891176588,버스정류장 150m 내 CCTV 없음,WGS84,37.3580667,126.9917333,126.9917333,37.3580667,EPSG:4326,POINT (126.9917333 37.3580667)
37.3579667,126.9921,정류소,,,150.0,1896.137182611508,버스정류장 150m 내 CCTV 없음,WGS84,37.3579667,126.9921,126.9921,37.3579667,EPSG:4326,POINT (126.9921 37.3579667)
37.35835,126.99205,정류소,,,150.0,1914.0842850068327,버스정류장 150m 내 CCTV 없음,WGS84,37.35835,126.99205,126.99205,37.35835,EPSG:4326,POINT (126.99205 37.35835)
37.3800833,126.9729333,정류소,,,150.0,1710.9986992183965,버스정류장 150m 내 CCTV 없음,WGS84,37.3800833,126.9729333,126.9729333,37.3800833,EPSG:4326,POINT (126.9729333 37.3800833)
37.3514333,126.9641,정류소,,,150.0,864.1560623632475,버스정류장 150m 내 CCTV 없음,WGS84,37.3514333,126.9641,126.9641,37.3514333,EPSG:4326,POINT (126.9641 37.3514333)
37.3517333,126.9638333,정류소,,,150.0,846.5302397717301,버스정류장 150m 내 CCTV 없음,WGS84,37.3517333,126.9638333,126.9638333,37.3517333,EPSG:4326,POINT (126.9638333 37.3517333)
37.3701,126.9662167,정류소,,,150.0,516.0218427229157,버스정류장 150m 내 CCTV 없음,WGS84,37.3701,126.9662167,126.9662167,37.3701,EPSG:4326,POINT (126.9662167 37.3701)
37.3711667,126.9882167,정류소,,,150.0,1633.2810024373418,버스정류장 150m 내 CCTV 없음,WGS84,37.3711667,126.9882167,126.9882167,37.3711667,EPSG:4326,POINT (126.9882167 37.3711667)
37.36035,126.9682667,정류소,,,150.0,233.7439894012744,버스정류장 150m 내 CCTV 없음,WGS84,37.36035,126.9682667,126.9682667,37.36035,EPSG:4326,POINT (126.9682667 37.36035)
37.3605,126.9683333,정류소,,,150.0,248.4423323267094,버스정류장 150m 내 CCTV 없음,WGS84,37.3605,126.9683333,126.9683333,37.3605,EPSG:4326,POINT (126.9683333 37.3605)
37.3505667,126.9793833,정류소,,,150.0,532.0956618000407,버스정류장 150m 내 CCTV 없음,WGS84,37.3505667,126.9793833,126.9793833,37.3505667,EPSG:4326,POINT (126.9793833 37.3505667)
37.32355,126.9563667,정류소,,,150.0,269.7770474459728,버스정류장 150m 내 CCTV 없음,WGS84,37.32355,126.9563667,126.9563667,37.32355,EPSG:4326,POINT (126.9563667 37.32355)
37.3237333,126.9564333,정류소,,,150.0,285.978406617032,버스정류장 150m 내 CCTV 없음,WGS84,37.3237333,126.9564333,126.9564333,37.3237333,EPSG:4326,POINT (126.9564333 37.3237333)
37.34955,126.97905,정류소,,,150.0,487.2209775100973,버스정류장 150m 내 CCTV 없음,WGS84,37.34955,126.97905,126.97905,37.34955,EPSG:4326,POINT (126.97905 37.34955)
37.3499167,126.9794833,정류소,,,150.0,528.2460293963131,버스정류장 150m 내 CCTV 없음,WGS84,37.3499167,126.9794833,126.9794833,37.3499167,EPSG:4326,POINT (126.9794833 37.3499167)
