시군명,정류소명,정류소id,위도,경도,crs,source_file,latitude,longitude,x,y,epsg,wkt
의왕시,배꼽,226000281,37.387,127.0181833,WGS84,자료/버스정류소현황.xls,37.387,127.0181833,127.0181833,37.387,EPSG:4326,POINT (127.0181833 37.387)
의왕시,배꼽,226000280,37.38705,127.018,WGS84,자료/버스정류소현황.xls,37.38705,127.018,127.018,37.38705,EPSG:4326,POINT (127.018 37.38705)
의왕시,백운고교,226000020,37.3866,126.9845167,WGS84,자료/버스정류소현황.xls,37.3866,126.9845167,126.9845167,37.3866,EPSG:4326,POINT (126.9845167 37.3866)
의왕시,백운고등학교,226000150,37.3867167,126.98465,WGS84,자료/버스정류소현황.xls,37.3867167,126.98465,126.98465,37.3867167,EPSG:4326,POINT (126.98465 37.3867167)
의왕시,백운동산,226000334,37.3638167,126.9975667,WGS84,자료/버스정류소현황.xls,37.3638167,126.9975667,126.9975667,37.3638167,EPSG:4326,POINT (126.9975667 37.3638167)
의왕시,백운동산,226000333,37.3639,126.9976333,WGS84,자료/버스정류소현황.xls,37.3639,126.9976333,126.9976333,37.3639,EPSG:4326,POINT (126.9976333 37.3639)
의왕시,백운사입구,226000318,37.3475167,127.00185,WGS84,자료/버스정류소현황.xls,37.3475167,127.00185,127.00185,37.3475167,EPSG:4326,POINT (127.00185 37.3475167)
의왕시,백운호수,226000266,37.3813,127.0005333,WGS84,자료/버스정류소현황.xls,37.3813,127.0005333,127.0005333,37.3813,EPSG:4326,POINT (127.0005333 37.3813)
의왕시,백운호수,226000265,37.3810333,127.0008,WGS84,자료/버스정류소현황.xls,37.3810333,127.0008,127.0008,37.3810333,EPSG:4326,POINT (127.0008 37.3810333)
의왕시,벌말초교.한일나래,226000133,37.3927833,126.9806167,WGS84,자료/버스정류소현황.xls,37.3927833,126.9806167,126.9806167,37.3927833,EPSG:4326,POINT (126.9806167 37.3927833)
의왕시,벌말초교.한일나래,226000132,37.39285,126.9808833,WGS84,자료/버스정류소현황.xls,37.39285,126.9808833,126.9808833,37.39285,EPSG:4326,POINT (126.9808833 37.39285)
의왕시,보훈회관.무궁화선경아파트,226000320,37.3503667,126.9791,WGS84,자료/버스정류소현황.xls,37.3503667,126.9791,126.9791,37.3503667,EPSG:4326,POINT (126.9791 37.3503667)
의왕시,부곡IC(경유),277103223,37.3239333,126.96075,WGS84,자료/버스정류소현황.xls,37.3239333,126.96075,126.96075,37.3239333,EPSG:4326,POINT (126.96075 37.3239333)
의왕시,부곡IC(경유),277103222,37.3237667,126.9603333,WGS84,자료/버스정류소현황.xls,37.3237667,126.9603333,126.9603333,37.3237667,EPSG:4326,POINT (126.9603333 37.3237667)
의왕시,부곡복지회관,226000202,37.3242,126.9576167,WGS84,자료/버스정류소현황.xls,37.3242,126.9576167,126.9576167,37.3242,EPSG:4326,POINT (126.9576167 37.3242)
의왕시,부곡복지회관,226000156,37.3242667,126.9579,WGS84,자료/버스정류소현황.xls,37.3242667,126.9579,126.9579,37.3242667,EPSG:4326,POINT (126.9579 37.3242667)
의왕시,부곡주유소,226000098,37.32475,126.9486167,WGS84,자료/버스정류소현황.xls,37.32475,126.9486167,126.9486167,37.32475,EPSG:4326,POINT (126.9486167 37.32475)
의왕시,부곡주유소,226000081,37.3249,126.9485333,WGS84,자료/버스정류소현황.xls,37.3249,126.9485333,126.9485333,37.3249,EPSG:4326,POINT (126.9485333 37.3249)
의왕시,부곡중앙로,226000159,37.3211,126.9542,WGS84,자료/버스정류소현황.xls,37.3211,126.9542,126.9542,37.3211,EPSG:4326,POINT (126.9542 37.3211)
의왕시,부곡중앙로,226000158,37.3212333,126.9541833,WGS84,자료/버스정류소현황.xls,37.3212333,126.9541833,126.9541833,37.3212333,EPSG:4326,POINT (126.9541833 37.3212333)
의왕시,부곡중학교,226000367,37.31445,126.9559833,WGS84,자료/버스정류소현황.xls,37.31445,126.9559833,126.9559833,37.31445,EPSG:4326,POINT (126.9559833 37.31445)
의왕시,부곡차량사업소,226000369,37.3199,126.9461,WGS84,자료/버스정류소현황.xls,37.3199,126.9461,126.9461,37.3199,EPSG:4326,POINT (126.9461 37.3199)
의왕시,부곡차량사업소,226000368,37.3201,126.9458667,WGS84,자료/버스정류소현황.xls,37.3201,126.9458667,126.9458667,37.3201,EPSG:4326,POINT (126.9458667 37.3201)
의왕시,부곡체육공원,226000139,37.314,126.9576833,WGS84,자료/버스정류소현황.xls,37.314,126.9576833,126.9576833,37.314,EPSG:4326,POINT (126.9576833 37.314)
의왕시,부곡체육공원,226000232,37.3141,126.95795,WGS84,자료/버스정류소현황.xls,37.3141,126.95795,126.95795,37.3141,EPSG:4326,POINT (126.95795 37.3141)
의왕시,부곡초교,226000102,37.3158167,126.9507833,WGS84,자료/버스정류소현황.xls,37.3158167,126.9507833,126.9507833,37.3158167,EPSG:4326,POINT (126.9507833 37.3158167)
의왕시,부곡초교,226000077,37.3157833,126.95065,WGS84,자료/버스정류소현황.xls,37.3157833,126.95065,126.95065,37.3157833,EPSG:4326,POINT (126.95065 37.3157833)
의왕시,부곡초등학교후문,226000356,37.3161667,126.9492833,WGS84,자료/버스정류소현황.xls,37.3161667,126.9492833,126.9492833,37.3161667,EPSG:4326,POINT (126.9492833 37.3161667)
의왕시,부용촌,226000261,37.3762667,127.0026167,WGS84,자료/버스정류소현황.xls,37.3762667,127.0026167,127.0026167,37.3762667,EPSG:4326,POINT (127.0026167 37.3762667)
의왕시,부용촌,226000262,37.37615,127.0025333,WGS84,자료/버스정류소현황.xls,37.37615,127.0025333,127.0025333,37.37615,EPSG:4326,POINT (127.0025333 37.37615)
의왕시,북골,226000255,37.3750167,127.0073,WGS84,자료/버스정류소현황.xls,37.3750167,127.0073,127.0073,37.3750167,EPSG:4326,POINT (127.0073 37.3750167)
의왕시,북골,226000256,37.3747167,127.0073,WGS84,자료/버스정류소현황.xls,37.3747167,127.0073,127.0073,37.3747167,EPSG:4326,POINT (127.0073 37.3747167)
의왕시,삼성래미안.에버하임,226000343,37.3879667,126.97855,WGS84,자료/버스정류소현황.xls,37.3879667,126.97855,126.97855,37.3879667,EPSG:4326,POINT (126.97855 37.3879667)
의왕시,삼성래미안.에버하임,226000344,37.3878,126.9784,WGS84,자료/버스정류소현황.xls,37.3878,126.9784,126.9784,37.3878,EPSG:4326,POINT (126.9784 37.3878)
의왕시,삼천리자전거,226000394,37.3571667,126.9614833,WGS84,자료/버스정류소현황.xls,37.3571667,126.9614833,126.9614833,37.3571667,EPSG:4326,POINT (126.9614833 37.3571667)
의왕시,삼천리자전거,226000395,37.3567833,126.9611833,WGS84,자료/버스정류소현황.xls,37.3567833,126.9611833,126.9611833,37.3567833,EPSG:4326,POINT (126.9611833 37.3567833)
의왕시,삼호1차.까치아파트,226000366,37.3167833,126.95545,WGS84,자료/버스정류소현황.xls,37.3167833,126.95545,126.95545,37.3167833,EPSG:4326,POINT (126.95545 37.3167833)
의왕시,삼호2차.청솔아파트,226000383,37.3182167,126.9556,WGS84,자료/버스정류소현황.xls,37.3182167,126.9556,126.9556,37.3182167,EPSG:4326,POINT (126.9556 37.3182167)
의왕시,삼호2차.청솔아파트,226000384,37.31815,126.9556,WGS84,자료/버스정류소현황.xls,37.31815,126.9556,126.9556,37.31815,EPSG:4326,POINT (126.9556 37.31815)
의왕시,삼호2차아파트,226000358,37.3175833,126.9555,WGS84,자료/버스정류소현황.xls,37.3175833,126.9555,126.9555,37.3175833,EPSG:4326,POINT (126.9555 37.3175833)
의왕시,삼호2차아파트,226000365,37.3176167,126.9554,WGS84,자료/버스정류소현황.xls,37.3176167,126.9554,126.9554,37.3176167,EPSG:4326,POINT (126.9554 37.3176167)
의왕시,상록아파트,226000240,37.3775,126.9721833,WGS84,자료/버스정류소현황.xls,37.3775,126.9721833,126.9721833,37.3775,EPSG:4326,POINT (126.9721833 37.3775)
의왕시,새마을금고.해병전우회,226000314,37.321,126.9516667,WGS84,자료/버스정류소현황.xls,37.321,126.9516667,126.9516667,37.321,EPSG:4326,POINT (126.9516667 37.321)
의왕시,새마을금고.해병전우회,226000313,37.3211333,126.9518333,WGS84,자료/버스정류소현황.xls,37.3211333,126.9518333,126.9518333,37.3211333,EPSG:4326,POINT (126.9518333 37.3211333)
의왕시,새터마을,226000275,37.3899,127.01445,WGS84,자료/버스정류소현황.xls,37.3899,127.01445,127.01445,37.3899,EPSG:4326,POINT (127.01445 37.3899)
