way_id,highway,name,ref,lanes,maxspeed,oneway,bridge,tunnel,length_m
378314637,living_street,,,,,,,,74.6
378314638,living_street,,,,,,,,92.9
378314639,living_street,,,,,,,,91.37
378314640,living_street,,,,,,,,69.82
378314641,living_street,,,,,,,,55.08
378314642,residential,당뿌리로,,,,,,,193.64
378314643,living_street,,,,,,,,74.05
378314644,living_street,,,,,,,,50.17
378314648,residential,전주남이4길,,,,no,,,162.1
378314649,residential,전주남이길,,,,,,,549.42
378314650,residential,모란길,,,,no,,,668.52
378665821,service,,,,,,,,256.68
378665826,service,,,,,,,,164.62
378665843,trunk_link,,,,,yes,,,483.37
378665854,service,,,,,,,,47.65
378665856,residential,전주남이1길,,,,,,,127.82
378665859,living_street,,,,,,,,152.96
378665861,residential,전주남이2길,,,,,,,292.77
378665866,service,,,,,,,,25.54
378665868,service,,,,,,,,36.45
378665869,service,,,,,,,,32.59
378665871,living_street,전주남이3길,,,,,,,131.22
378665873,residential,,,,,,,,263.6
378665875,residential,,,,,,,,35.19
378665879,residential,등칙골2길,,,,,,,138.55
378665883,living_street,,,,,,,,92.55
378665884,living_street,,,,,,,,76.22
378665886,residential,등칙골5길,,,,,,,246.52
378665893,residential,찬우물1길,,,,,,,279.78
378665895,living_street,,,,,,,,69.53
378665896,living_street,,,,,,,,43.28
378665898,living_street,,,,,,,,42.13
378665900,residential,찬우물2길,,,,,,,168.29
378665902,living_street,,,,,,,,45.13
378665907,residential,,,,,,,,141.38
378665909,footway,,,,,,,,40.94
378665964,tertiary,어내들로,,,,,,,341.4
378848033,residential,안골다리길,,,,,,,113.32
378848037,residential,청백리로,,,,,,,219.09
378848038,residential,,,,,,yes,,29.3
378848039,residential,청백리로,,,,,,,54.49
378848041,residential,골우물길,,,,,,,297.18
378848042,service,,,,,,,,98.35
378848043,service,,,,,,,,91.68
378848044,service,,,,,,,,89.67
378848045,residential,문화공원로,,,,,,,301.43
378848049,tertiary,,,,,no,yes,,35.52
378848058,residential,,,,,,,,91.95
379044918,tertiary,복지로,,,,no,,,957.68
379044919,tertiary,갈미로,,,,,,,668.5
379044921,residential,갈미1로,,,,,,,370.16
379072975,tertiary,계원대학로,,,,,,,61.84
379072976,tertiary,문화예술로,,,,,,,48.55
379072981,pedestrian,,,,,,,,656.85
379072982,pedestrian,,,,,,yes,,28.68
379072985,residential,손골길,,,,,,,377.23
379072986,residential,,,,,yes,,,41.17
379072988,tertiary,문화예술로,,,50,,,,674.2
