city_kr,stop_name_kr,stop_name_en,stop_id,stop_code,stop_type,road_addr_raw,jibun_addr_raw,lon,lat
의왕시,롯데첨단소재,"Cheil Industries Inc., ",226000028,27039,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.9638333,37.3517333
의왕시,모락고등학교,Morak High School,226000211,27204,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9662167,37.3701
의왕시,모락산안골식당,,226509050,,,,,126.9882167,37.3711667
의왕시,모락산현대아파트,Moraksan Hyundai Apartment,226000242,27232,노변정류장,경기도 의왕시,,126.9682667,37.36035
의왕시,모락산현대아파트,Moraksan Hyundai Apartment,226000243,27233,노변정류장,경기도 의왕시,,126.9683333,37.3605
의왕시,무궁화선경아파트,Mugunghwa SunKyung Apartment ,226000025,27097,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9793833,37.3505667
의왕시,미주아파트,Miju Apartment,226000309,27299,노변정류장,경기도 의왕시,,126.9563667,37.32355
의왕시,미주아파트,Miju Apartment,226000310,27300,노변정류장,경기도 의왕시,,126.9564333,37.3237333
의왕시,민들레베스파트.우성고,Woosung High School,226000067,27094,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.97905,37.34955
의왕시,민들레베스파트.우성고,"Woosung High School, Mugunghwa Sunkyung Apartment ",226000031,27098,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9794833,37.3499167
의왕시,민방위교육장,Civil Defense Training Center,226000237,,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9804333,37.3866167
의왕시,민방위교육장,Civil Defense Training Center,226000236,,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9803167,37.3864833
의왕시,발도르프학교,Cheonggye Folk Village,226000298,27288,노변정류장,경기도 의왕시,,127.00845,37.40305
