grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
671,127.00722064,37.38268395,712.01,138.99,2244.75,635.63,1305.04,0.181179,0.946884,0.542556,0.712877,0.540213,0.674166,37.837,707,False
388,126.9849841,37.33075992,741.78,119.01,3061.89,230.22,1649.52,0.196674,0.969342,0.304473,0.975125,0.384825,0.650695,37.828,708,False
894,127.03249547,37.40532094,1352.65,604.98,4798.6,1291.04,3269.01,0.514691,0.423034,0.0,0.288908,0.0,0.171279,37.733,709,False
122,126.95689492,37.31260665,161.86,99.7,673.92,478.53,247.65,0.0,0.991055,1.0,0.814496,1.0,0.94256,37.702,710,False
183,126.96245795,37.35760508,365.29,99.07,296.13,298.71,844.11,0.000677,0.991754,1.0,0.930817,0.748125,0.939815,37.633,711,False
323,126.97945894,37.32857807,840.73,401.18,2670.2,476.36,1845.18,0.248191,0.652143,0.418597,0.815901,0.296567,0.566193,37.539,712,False
282,126.97346052,37.36451094,598.14,561.66,951.21,696.33,481.38,0.121897,0.471735,0.919444,0.673609,0.911744,0.754997,37.514,713,False
606,127.00160276,37.37815353,577.46,209.09,1996.96,309.46,952.43,0.11113,0.868082,0.614754,0.923863,0.699267,0.770829,37.501,714,False
670,127.00723539,37.38043057,766.96,373.06,2325.1,686.18,1055.04,0.209782,0.683748,0.519145,0.680174,0.652979,0.62045,37.405,715,False
283,126.97344478,37.36676431,603.86,580.07,1132.25,604.05,521.56,0.124877,0.451038,0.866695,0.733303,0.893623,0.747585,37.396,716,False
274,126.97358643,37.34648393,325.18,135.75,1071.07,265.42,322.3,0.0,0.950524,0.884521,0.952352,0.983502,0.932918,37.317,717,False
212,126.96555704,37.36469857,141.54,48.29,654.29,356.6,250.57,0.0,1.0,1.0,0.893372,1.0,0.968012,37.31,718,False
208,126.96505504,37.35545945,417.59,273.21,169.73,419.12,656.84,0.027905,0.796004,1.0,0.85293,0.832599,0.88997,37.273,719,False
676,127.00714689,37.39395083,651.53,351.68,2253.44,419.51,741.9,0.149691,0.707787,0.540025,0.852678,0.794231,0.705504,37.202,720,False
863,127.02687438,37.40079172,1222.33,540.43,4150.36,911.9,2621.53,0.446849,0.495605,0.0,0.534163,0.0,0.25937,37.186,721,False
417,126.98453729,37.39610787,334.35,56.08,904.96,403.03,397.31,0.0,1.0,0.932918,0.863335,0.949667,0.927972,37.119,722,False
143,126.95970001,37.31487295,202.24,177.2,698.01,462.75,232.02,0.0,0.903928,0.993216,0.824704,1.0,0.925823,37.033,723,False
